date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2019-12-02,29.82,29.34,29.82,28.55,16447,67299623.0,4.33,0.0,0.0,2.33
2019-12-03,29.22,30.06,30.08,28.86,15142,63205872.0,4.16,2.45,0.72,2.15
2019-12-04,29.89,30.09,30.31,29.54,14295,60214992.0,2.56,0.1,0.03,2.03
2019-12-05,29.75,31.18,31.34,29.75,19794,85991550.0,5.28,3.62,1.09,2.81
2019-12-06,31.24,31.34,31.45,30.79,13956,61300648.0,2.12,0.51,0.16,1.98
2019-12-09,31.36,31.6,32.2,31.06,18372,81806138.0,3.64,0.83,0.26,2.6
2019-12-10,31.39,31.48,31.82,30.9,17220,76317536.0,2.91,-0.38,-0.12,2.44
2019-12-11,31.43,31.61,32.11,31.16,17755,79042332.0,3.02,0.41,0.13,2.52
2019-12-12,31.66,31.32,31.96,31.26,18360,81743692.0,2.21,-0.92,-0.29,2.6
2019-12-13,31.36,32.57,32.85,31.08,38471,174426748.0,5.65,3.99,1.25,5.45
2019-12-16,32.64,34.96,35.46,32.32,50983,244857242.0,9.64,7.34,2.39,7.23
2019-12-17,35.21,36.25,37.39,35.18,43037,219532726.0,6.32,3.69,1.29,6.1
2019-12-18,36.09,35.71,36.64,35.53,37104,187545104.0,3.06,-1.49,-0.54,5.26
2019-12-19,35.39,35.41,36.01,34.68,24158,119636289.0,3.72,-0.84,-0.3,3.42
2019-12-20,35.63,35.26,37.14,34.86,39539,198734296.0,6.44,-0.42,-0.15,5.61
2019-12-23,35.29,35.11,37.14,34.82,42087,212970778.0,6.58,-0.43,-0.15,5.97
2019-12-24,34.94,35.5,36.14,34.54,30524,151513705.0,4.56,1.11,0.39,4.33
2019-12-25,36.25,36.94,37.54,35.75,51201,263967934.0,5.04,4.06,1.44,7.26
2019-12-26,36.86,38.82,40.18,36.86,52387,284625440.0,8.99,5.09,1.88,7.43
2019-12-27,38.55,36.04,38.99,36.04,54291,284618512.0,7.6,-7.16,-2.78,7.7
2019-12-30,35.54,35.29,36.04,33.96,42412,208276413.0,5.77,-2.08,-0.75,6.01
2019-12-31,35.39,34.68,35.74,34.41,23855,117244630.0,3.77,-1.73,-0.61,3.38
2020-01-02,34.89,35.4,35.94,34.39,27338,135617692.0,4.47,2.08,0.72,3.88
2020-01-03,35.36,35.18,35.91,34.81,19671,97442417.0,3.11,-0.62,-0.22,2.79
2020-01-06,34.81,35.2,35.89,34.25,29354,144937459.0,4.66,0.06,0.02,4.16
